State, FIPS,Cases_Per100000,Cases_Per100000_LCI,Cases_Per100000_UCI,Average Annual Count,Recent Trend,Trend_in_5_year,Trend_LCI,Trend_UCI,Counties,SEER,NPCR
New York,36083.0,529.4,514.5,544.5,1026.0,stable,0.7,-1.6,2.9,Rensselaer County,7.0,8.0
Kentucky,21057.0,529.3,464.3,601.8,53.0,stable,3.5,-12.0,21.8,Cumberland County,7.0,8.0
New York,36017.0,528.8,503.6,555.0,359.0,stable,0.4,-0.2,1.1,Chenango County,7.0,8.0
North Dakota,38081.0,528.7,440.0,631.3,28.0,stable,2.0,-36.2,63.1,Sargent County,6.0,10.0
Illinois,17167.0,528.7,515.5,542.1,1288.0,stable,1.9,-1.3,5.2,Sangamon County,6.0,10.0
Louisiana,22097.0,528.4,507.6,549.9,509.0,stable,0.3,-0.2,0.9,St. Landry Parish,7.0,8.0
New York,36091.0,528.3,516.0,540.9,1478.0,stable,-0.2,-0.6,0.3,Saratoga County,7.0,8.0
Louisiana,22031.0,528.3,493.3,565.2,179.0,stable,-0.1,-0.8,0.7,De Soto Parish,7.0,8.0
Pennsylvania,42095.0,528.0,517.5,538.6,2063.0,stable,-0.9,-3.2,1.4,Northampton County,6.0,10.0
Virginia,51620.0,527.8,464.9,597.1,56.0,stable,6.2,-4.1,17.7,Franklin City,6.0,10.0
Missouri,29133.0,527.8,479.8,579.5,92.0,stable,5.9,-4.5,17.6,Mississippi County,6.0,10.0
Louisiana,22121.0,527.4,488.6,568.5,144.0,stable,-0.4,-1.5,0.8,West Baton Rouge Parish,7.0,8.0
Tennessee,47005.0,527.1,485.2,572.0,130.0,stable,-1.8,-10.3,7.5,Benton County,6.0,10.0
Montana,30029.0,527.0,508.2,546.2,651.0,stable,-1.8,-3.6,0.1,Flathead County,6.0,10.0
Nevada,32009.0,526.9,349.8,780.7,7.0,stable,7.8,-32.9,73.2,Esmeralda County,6.0,10.0
Missouri,29127.0,526.7,492.4,562.8,187.0,stable,2.8,-1.4,7.2,Marion County,6.0,10.0
New York,36073.0,526.6,498.4,556.0,276.0,stable,0.1,-0.6,0.8,Orleans County,7.0,8.0
Georgia,13029.0,526.5,489.8,565.2,163.0,stable,0.7,-0.3,1.6,Bryan County,7.0,8.0
Arkansas,5095.0,526.4,465.6,593.8,60.0,stable,6.5,-1.8,15.5,Monroe County,6.0,10.0
Kentucky,21019.0,526.4,501.0,552.8,341.0,falling,-0.7,-1.3,-0.2,Boyd County,7.0,8.0
Mississippi,28043.0,526.0,487.1,567.3,142.0,stable,-4.7,-13.7,5.2,Grenada County,6.0,10.0
Kentucky,21153.0,525.8,474.3,581.6,81.0,stable,0.0,-1.4,1.4,Magoffin County,7.0,8.0
Kentucky,21141.0,525.7,491.2,562.2,182.0,stable,-0.1,-1.1,1.0,Logan County,7.0,8.0
Louisiana,22013.0,525.7,478.5,576.6,99.0,stable,-0.3,-1.8,1.2,Bienville Parish,7.0,8.0
North Dakota,38043.0,525.5,414.8,659.0,19.0,stable,4.2,-34.0,64.6,Kidder County,6.0,10.0
Kentucky,21089.0,525.4,496.7,555.6,265.0,stable,-4.6,-9.3,0.4,Greenup County,7.0,8.0
Nebraska,31071.0,525.4,402.9,677.5,17.0,stable,-9.9,-29.5,15.1,Garfield County,6.0,10.0
Iowa,19003.0,525.1,438.2,625.8,30.0,rising,1.5,0.7,2.3,Adams County,7.0,8.0
Missouri,29187.0,525.0,502.3,548.5,413.0,stable,-1.3,-4.6,2.1,St. Francois County,6.0,10.0
Kentucky,21235.0,525.0,493.8,557.8,221.0,stable,0.3,-0.3,0.9,Whitley County,7.0,8.0
Kentucky,21211.0,524.8,496.3,554.5,269.0,stable,-0.1,-0.9,0.7,Shelby County,7.0,8.0
Florida,12031.0,524.4,517.8,531.1,5036.0,stable,-1.2,-3.3,0.9,Duval County,6.0,10.0
Kentucky,21059.0,524.3,505.8,543.3,636.0,stable,2.2,-1.9,6.5,Daviess County,7.0,8.0
Kentucky,21191.0,524.2,475.7,576.6,91.0,stable,0.3,-0.7,1.3,Pendleton County,7.0,8.0
Nebraska,31129.0,524.0,442.2,618.3,37.0,stable,-0.4,-9.9,10.2,Nuckolls County,6.0,10.0
West Virginia,54011.0,523.9,505.2,543.2,627.0,stable,-1.6,-5.1,2.0,Cabell County,6.0,10.0
Nebraska,31087.0,523.7,421.3,645.5,22.0,stable,-0.1,-33.3,49.6,Hitchcock County,6.0,10.0
North Dakota,38059.0,523.7,489.2,560.0,181.0,stable,-1.7,-10.0,7.3,Morton County,6.0,10.0
West Virginia,54041.0,523.4,481.3,568.5,121.0,stable,1.5,-15.3,21.6,Lewis County,6.0,10.0
Virginia,51073.0,523.2,494.3,553.5,262.0,stable,0.3,-3.8,4.5,Gloucester County,6.0,10.0
Kentucky,21097.0,523.2,481.4,567.7,123.0,stable,-0.2,-1.2,0.7,Harrison County,7.0,8.0
Wisconsin,55041.0,523.1,469.1,582.5,75.0,stable,2.3,-6.1,11.4,Forest County,6.0,10.0
Kentucky,21165.0,523.1,452.5,602.2,44.0,stable,0.2,-1.1,1.5,Menifee County,7.0,8.0
North Dakota,38083.0,522.8,386.8,702.5,13.0,stable,-16.0,-32.8,5.1,Sheridan County,6.0,10.0
Alabama,1017.0,522.8,492.7,554.5,240.0,stable,-1.5,-6.5,3.7,Chambers County,6.0,10.0
Georgia,13255.0,522.6,499.5,546.5,406.0,stable,-0.3,-1.6,1.0,Spalding County,7.0,8.0
Arkansas,5021.0,522.4,478.9,569.3,115.0,stable,2.1,-11.9,18.2,Clay County,6.0,10.0
Virginia,51101.0,522.3,476.4,571.7,101.0,stable,4.0,-7.1,16.4,King William County,6.0,10.0
Indiana,18145.0,522.3,495.0,550.9,287.0,stable,5.3,-2.8,14.1,Shelby County,6.0,10.0
Kentucky,21103.0,522.2,477.0,570.9,104.0,stable,0.0,-1.3,1.2,Henry County,7.0,8.0
New Hampshire,33001.0,522.1,499.8,545.1,461.0,stable,1.6,-0.1,3.4,Belknap County,6.0,10.0
Arkansas,5053.0,522.0,479.8,567.1,118.0,stable,2.4,-8.6,14.8,Grant County,6.0,10.0
Kentucky,21077.0,521.9,455.7,595.2,50.0,stable,0.9,-1.2,3.1,Gallatin County,7.0,8.0
Indiana,18077.0,521.9,490.1,555.5,211.0,stable,-3.6,-10.5,3.8,Jefferson County,6.0,10.0
Illinois,17129.0,521.9,472.5,575.4,89.0,stable,2.6,-3.9,9.6,Menard County,6.0,10.0
New York,36085.0,521.8,513.1,530.6,2893.0,stable,-0.5,-1.1,0.0,Richmond County,7.0,8.0
Georgia,13195.0,521.7,487.4,558.0,182.0,stable,0.6,-0.4,1.6,Madison County,7.0,8.0
Tennessee,47017.0,521.7,488.8,556.4,201.0,stable,3.2,0.0,6.4,Carroll County,6.0,10.0
Illinois,17105.0,521.6,492.4,552.2,253.0,stable,2.0,-7.6,12.6,Livingston County,6.0,10.0
Maryland,24045.0,521.3,502.2,541.0,592.0,stable,0.5,-6.6,8.1,Wicomico County,6.0,10.0
Iowa,19067.0,521.3,477.9,567.9,118.0,stable,0.2,-0.5,0.8,Floyd County,7.0,8.0
Virginia,51125.0,521.2,477.2,568.6,123.0,stable,-1.2,-12.9,12.0,Nelson County,6.0,10.0
Maryland,24015.0,521.0,502.1,540.5,609.0,stable,1.4,-2.4,5.5,Cecil County,6.0,10.0
Virginia,51820.0,520.9,482.7,561.5,145.0,stable,1.8,-5.0,9.2,Waynesboro City,6.0,10.0
Mississippi,28157.0,520.8,460.6,586.9,57.0,stable,4.3,-14.4,27.2,Wilkinson County,6.0,10.0
Missouri,29205.0,520.5,451.3,598.2,44.0,rising,7.8,4.3,11.4,Shelby County,6.0,10.0
Nebraska,31075.0,520.4,288.3,864.4,4.0,stable,34.0,-40.1,199.7,Grant County,6.0,10.0
Arkansas,5141.0,520.4,480.3,563.4,143.0,stable,0.6,-13.9,17.5,Van Buren County,6.0,10.0
Georgia,13277.0,520.4,490.2,551.9,230.0,stable,0.8,-0.3,1.8,Tift County,7.0,8.0
West Virginia,54093.0,520.4,457.6,590.4,57.0,stable,0.7,-17.8,23.3,Tucker County,6.0,10.0
Kentucky,21061.0,519.8,470.3,573.7,87.0,stable,0.4,-0.2,1.1,Edmonson County,7.0,8.0
New Jersey,34029.0,519.8,512.7,527.1,4455.0,falling,-7.5,-11.4,-3.5,Ocean County,7.0,8.0
Illinois,17081.0,519.8,491.3,549.7,262.0,stable,0.0,-6.8,7.3,Jefferson County,6.0,10.0
New Jersey,34007.0,519.8,511.4,528.3,3061.0,stable,-0.2,-0.6,0.1,Camden County,7.0,8.0
Iowa,19145.0,519.6,477.6,564.7,123.0,rising,0.7,0.1,1.3,Page County,7.0,8.0
Illinois,17199.0,519.5,497.8,541.8,455.0,stable,2.0,-0.9,4.9,Williamson County,6.0,10.0
New York,36079.0,519.4,500.9,538.5,639.0,falling,-0.9,-1.3,-0.5,Putnam County,7.0,8.0
Tennessee,47115.0,519.4,486.5,554.1,201.0,stable,-4.7,-13.2,4.6,Marion County,6.0,10.0
Mississippi,28143.0,519.2,454.5,590.3,50.0,stable,-3.4,-18.1,14.0,Tunica County,6.0,10.0
North Carolina,37171.0,519.2,498.8,540.2,519.0,stable,-0.2,-3.8,3.7,Surry County,6.0,10.0
New York,36009.0,519.0,498.7,540.0,529.0,stable,0.0,-0.5,0.4,Cattaraugus County,7.0,8.0
Iowa,19177.0,519.0,457.2,587.6,56.0,stable,0.2,-0.4,0.9,Van Buren County,7.0,8.0
