name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,commisioning_year,State,Counties
Niagara,USA0003778,3.6,37.2544,-79.8756,Hydro,1954.0,Appalachian Power Co,10.449000000000002,8.006,0.0,0.0,0.0,1954,Virginia,Roanoke County
Algonquin Windsor Locks,USA0010567,71.0,41.9227,-72.6255,Gas,1994.647887,Algonquin Windsor Locks LLC,0.0,119.342977,112.01366499999999,140.352212,129.080806,1994,Connecticut,Hartford County
Truman,USA0002015,6.2,43.8284,-94.4369,Oil,1992.0322579999997,Truman Public Utilities Comm,0.047,0.011000000000000001,0.016,0.015,0.012,1992,Minnesota,Martin County
South Texas Project,USA0006251,2708.6,28.795,-96.0481,Nuclear,1988.5,STP Nuclear Operating Co,17827.856,20651.667,19400.553,21694.303,21581.476000000002,1988,Texas,Matagorda County
Chopin Wind LLC,USA0059076,10.0,45.88,-118.4633,Wind,2016.0,BayWa r.e Wind LLC,0.0,0.0,0.0,9.671,26.128,2016,Oregon,Umatilla County
Sand Lake DPC Solar,USA0060957,1.0,45.4455,-92.54899999999999,Solar,2017.0,SoCore Energy LLC,0.0,0.0,0.0,0.0,0.065,2017,Wisconsin,Polk County
Calverton,USA0060452,3.9,40.9211,-72.7437,Solar,2015.0,WGL Energy Systems  Inc,0.0,0.0,0.0,5.162000000000001,4.573,2015,New York,Suffolk County
Narrows PH,USA0000262,10.2,39.2364,-121.2717,Hydro,1943.0,Pacific Gas & Electric Co.,58.746,25.183000000000003,36.316,41.923,61.468,1943,California,Nevada County
Cedro Hill Wind LLC,USA0057260,150.0,27.5761,-98.9053,Wind,2011.0,NRG Energy Gas & Wind Holdings Inc,514.184,519.889,475.295,486.736,510.426,2011,Texas,Jim Hogg County
Shane's Wind Machine,USA0056577,1.3,44.1508,-96.1361,Wind,2006.0,Shane's Wind Machine LLC,7.603,8.392000000000001,7.7829999999999995,4.577,6.291,2006,Minnesota,Lincoln County
West Coxsackie,USA0002487,21.6,42.3509,-73.8158,Gas,1970.0,Central Hudson Gas & Elec Corp,0.0,0.0,0.11199999999999999,0.0,0.405,1970,New York,Greene County
SunGen Sharon 1 LLC,USA0058541,1.8,43.79,-72.49,Solar,2012.0,SunGen Sharon 1 LLC,5.126,0.0,2.86,1.7690000000000001,2.648,2012,Vermont,Windsor County
Galena Electric Utility,USA0007437,3.9,64.7442,-156.8736,Oil,2006.4358969999998,Galena Electric Utility,5.683,5.697,5.449,5.39,5.542999999999999,2006,Alaska,Dillingham Census Area
Alliant SBD 9901 Wells Fargo,USA0056074,1.1,41.9244,-91.6385,Oil,2001.0,Industrial Energy Applications Inc,0.006999999999999999,0.002,0.0,0.00098,0.0,2001,Iowa,Linn County
Biron,USA0003971,5.6,44.4306,-89.7808,Hydro,1909.9285710000001,Consolidated Water Power Co,26.853,27.386,33.907,35.549,30.75435,1909,Wisconsin,Wood County
Spring Valley Farm 2  LLC,USA0059593,5.0,36.3711,-78.4153,Solar,2017.0,Spring Valley Farm 2  LLC,0.0,0.0,0.0,0.0,8.642000000000001,2017,North Carolina,Vance County
Crisp Plant,USA0000753,17.5,31.8447,-83.9407,Coal,1957.0,Crisp County Power Comm,0.16899999999999998,0.532,0.35,1.45,2.6839999999999997,1957,Georgia,Crisp County
Sepulveda Canyon,USA0000316,8.5,34.0969,-118.4795,Hydro,1982.0,Metropolitan Water District of S CA,0.0,0.0,0.0,4.312,21.77,1982,California,Los Angeles County
Oroville Cogeneration LP,USA0054477,7.7,39.492,-121.5628,Gas,1990.0,Oroville Cogeneration LP,0.0,0.235,1.5290000000000001,0.135,0.413,1990,California,Butte County
Christoffer Wind Energy I LLC,USA0056709,2.1,43.6256,-95.3725,Wind,2008.0,Cisco,6.769,7.6579999999999995,7.072,6.901,6.75,2008,Iowa,Dickinson County
Soda,USA0000831,14.5,42.6446,-111.6967,Hydro,1924.0,PacifiCorp,15.674000000000001,14.51,14.474,17.769000000000002,33.872,1924,Idaho,Caribou County
Saint Marys Falls,USA0001865,23.7,46.5063,-84.3493,Hydro,1949.4936710000002,USACE-Detroit District,166.395,158.761,158.94299999999998,153.16899999999998,155.632,1949,Michigan,Chippewa County
