sitename,score,regionID,city,state,Latitude,Longitude,Federal_Facility_Indicator,Partial_Deletion,Listing_year,Listing_month,Listing_day,Proposed_year,Proposed_month,Proposed_day,Construction_year,Construction_month,Construction_day
"Delta Quarries & Disposal, Inc./Stotler Landfill",41.08,3,"Antis Township, Logan Township",Pennsylvania,40.553611,-78.35445,no,no,1986,6,10,1989,3,31,1996,12,5
Shriver's Corner,46.13,3,Straban Township,Pennsylvania,39.8999,-77.2055,no,no,1984,10,15,1986,6,10,2003,1,7
Keystone Sanitation Landfill,33.76,3,Union Township,Pennsylvania,39.72445,-77.036111,no,no,1985,4,10,1987,7,22,2004,9,13
Croydon TCE,31.6,3,Croydon,Pennsylvania,40.084934,-74.8892,no,no,1985,9,18,1986,6,10,1997,3,31
Revere Chemical Co.,31.31,3,Nockamixon Township,Pennsylvania,40.502781,-75.168889,no,no,1985,9,18,1987,7,22,1998,11,2
Bendix Flight Systems Division,33.74,3,Bridgewater Township,Pennsylvania,41.797361,-75.88625,no,no,1985,9,18,1987,7,22,1996,9,30
Bally Ground Water Contamination,37.93,3,Bally Borough,Pennsylvania,40.3984,-75.5933,no,no,1986,6,10,1987,7,22,1999,5,28
"CryoChem, Inc.",28.58,3,Worman,Pennsylvania,40.317219,-75.691669,no,no,1986,6,10,1989,10,4,1998,9,22
Eastern Diversified Metals,31.02,3,Hometown,Pennsylvania,40.829439,-75.9975,no,no,1986,6,10,1989,10,4,2008,9,16
Naval Air Development Center (8 Waste Areas),57.93,3,Warminster Township,Pennsylvania,40.1996,-75.0642,yes,no,1986,6,10,1989,10,4,2000,9,28
Hellertown Manufacturing Co.,51.91,3,Hellertown,Pennsylvania,40.595417,-75.340947,no,no,1987,1,22,1989,3,31,1996,9,27
Novak Sanitary Landfill,42.31,3,South Whitehall Township,Pennsylvania,40.6332,-75.5611,no,yes,1987,1,22,1989,10,4,2002,9,17
Commodore Semiconductor Group,42.35,3,Lower Providence Township,Pennsylvania,40.1241,-75.4194,no,no,1987,1,22,1989,10,4,2000,8,24
Saegertown Industrial Area,33.62,3,Saegertown,Pennsylvania,41.71884,-80.142972,no,yes,1988,6,24,1990,2,21,2004,3,15
Avco Lycoming (Williamsport Division),42.24,3,Williamsport,Pennsylvania,41.244031,-77.041111,no,no,1987,1,22,1990,2,21,2002,9,27
Bell Landfill,34.79,3,Terry Township,Pennsylvania,41.633061,-76.389169,no,no,1988,6,24,1989,10,4,1999,2,23
William Dick Lagoons,36.64,3,West Caln Township,Pennsylvania,40.041939,-75.898061,no,no,1987,1,22,1987,7,22,0,0,0
Chisman Creek,47.19,3,York County,Virginia,37.177,-76.4631,no,no,1982,12,30,1983,9,8,1990,12,21
Saltville Waste Disposal Ponds,29.52,3,Saltville,Virginia,36.883339,-81.783331,no,no,1982,12,30,1983,9,8,0,0,0
U.S. Titanium,34.78,3,Piney River,Virginia,37.708331,-79.016669,no,no,1982,12,30,1983,9,8,1997,8,25
"Avtex Fibers, Inc.",35.39,3,Front Royal,Virginia,38.925561,-78.211669,no,no,1984,10,15,1986,6,10,2014,8,29
L.A. Clarke & Son,34.24,3,Spotsylvania County,Virginia,38.236111,-77.4325,no,no,1984,10,15,1986,6,10,0,0,0
Defense General Supply Center (DLA),33.85,3,Chesterfield County,Virginia,37.4189,-77.4485,yes,no,1984,10,15,1987,7,22,0,0,0
First Piedmont Corp. Rock Quarry (Route 719),30.16,3,Pittsylvania County,Virginia,36.665831,-79.348611,no,no,1985,4,10,1987,7,22,1995,9,27
"Atlantic Wood Industries, Inc.",37.14,3,Portsmouth,Virginia,36.8065,-76.299,no,no,1986,6,10,1990,2,21,0,0,0
Saunders Supply Co.,36.88,3,Chuckatuck,Virginia,36.86055,-76.581669,no,no,1987,1,22,1989,10,4,1999,12,17
"Rentokil, Inc. (Virginia Wood Preserving Division)",30.34,3,Richmond,Virginia,37.635831,-77.503611,no,yes,1987,1,22,1989,3,31,1999,9,2
"C & R Battery Co., Inc.",46.44,3,Chesterfield County,Virginia,37.418,-77.415,no,no,1987,1,22,1987,7,22,1993,9,28
Greenwood Chemical Co.,53.17,3,Newtown,Virginia,38.044719,-78.786389,no,no,1987,1,22,1987,7,22,2005,9,30
"H & H Inc., Burn Pit",33.71,3,Farrington,Virginia,37.7243,-77.5857,no,no,1987,1,22,1989,3,31,2000,6,15
"Fike Chemical, Inc.",36.3,3,Nitro,West Virginia,38.426669,-81.8425,no,no,1982,12,30,1983,9,8,0,0,0
Triana/Tennessee River,61.42,4,"Limestone, Morgan",Alabama,34.508888,-86.638194,no,no,1982,12,30,1983,9,8,1991,12,18
Ciba-Geigy Corp. (McIntosh Plant),53.42,4,McIntosh,Alabama,31.279,-87.9955,no,no,1983,9,8,1984,9,21,2000,7,19
Olin Corp. (McIntosh Plant),39.71,4,McIntosh,Alabama,31.263889,-87.99445,no,no,1983,9,8,1984,9,21,0,0,0
Stauffer Chemical Co. (LeMoyne Plant),32.34,4,Axis,Alabama,30.969439,-88.0175,no,no,1983,9,8,1984,9,21,0,0,0
Stauffer Chemical Co. (Cold Creek Plant),46.77,4,Bucks,Alabama,30.975,-88.021389,no,no,1983,9,8,1984,9,21,0,0,0
Alabama Army Ammunition Plant,36.83,4,Childersburg,Alabama,33.3381,-86.3268,yes,no,1984,10,15,1987,7,22,0,0,0
Interstate Lead Co. (ILCO),42.86,4,Leeds,Alabama,33.688889,-86.633333,no,no,1985,9,18,1986,6,10,2014,9,30
American Creosote Works (Pensacola Plant),58.41,4,Pensacola,Florida,30.404719,-87.236661,no,no,1982,12,30,1983,9,8,0,0,0
Florida Steel Corp.,45.92,4,Indiantown,Florida,27.041111,-80.506111,no,no,1982,12,30,1983,9,8,1997,9,11
Hollingsworth Solderless Terminal,44.53,4,Fort Lauderdale,Florida,26.198331,-80.152219,no,no,1982,12,30,1983,9,8,1993,6,4
Miami Drum Services,53.56,4,Miami,Florida,25.837219,-80.313061,no,no,1982,12,30,1983,9,8,1993,4,28
Pickettville Road Landfill,42.94,4,Jacksonville,Florida,30.368611,-81.738889,no,no,1982,12,30,1983,9,8,2008,9,24
Reeves Southeastern Galvanizing Corp.,58.75,4,Tampa,Florida,27.9725,-82.341939,no,no,1982,12,30,1983,9,8,2019,9,10
Sapp Battery Salvage,47.7,4,Cottondale,Florida,30.728331,-85.3925,no,no,1982,12,30,1983,9,8,2012,9,19
Sherwood Medical Industries,39.83,4,Deland,Florida,29.060831,-81.265,no,no,1982,12,30,1983,9,8,1997,9,18
Taylor Road Landfill,51.37,4,Seffner,Florida,28.009719,-82.29305,no,no,1982,12,30,1983,9,8,1999,6,18
Tower Chemical Co.,44.03,4,Clermont,Florida,28.551389,-81.684719,no,no,1982,12,30,1983,9,8,0,0,0
Zellwood Ground Water Contamination,51.91,4,Zellwood,Florida,28.73195,-81.613331,no,no,1982,12,30,1983,9,8,2003,9,16
Cabot/Koppers,36.69,4,Gainesville,Florida,29.675,-82.323061,no,no,1983,9,8,1984,9,21,0,0,0
Peak Oil Co./Bay Drum Co.,58.15,4,Tampa,Florida,27.9708,-82.3404,no,no,1984,10,15,1986,6,10,2006,9,26
"Pepper Steel & Alloys, Inc.",31.92,4,Medley,Florida,25.873611,-80.353331,no,no,1983,9,8,1984,9,21,1993,9,28
Sydney Mine Sludge Ponds,38.93,4,Brandon,Florida,27.929166,-82.209166,no,no,1986,6,10,1989,10,4,1999,6,28
Wingate Road Municipal Incinerator Dump,31.72,4,Fort Lauderdale,Florida,26.1444,-80.1847,no,no,1988,6,24,1989,10,4,2002,1,4
Piper Aircraft Corp./Vero Beach Water & Sewer Department,31.13,4,Vero Beach,Florida,27.647499,-80.415555,no,no,1986,6,10,1990,2,21,1998,9,21
Harris Corp. (Palm Bay Plant),35.57,4,Palm Bay,Florida,28.030281,-80.601389,no,no,1985,4,10,1987,7,22,1998,7,1
Petroleum Products Corp.,40.11,4,Pembroke Park,Florida,25.9926,-80.1696,no,no,1985,4,10,1987,7,22,0,0,0
"Anodyne, Inc.",31.03,4,North Miami Beach,Florida,25.923189,-80.221531,no,no,1988,6,24,1990,2,21,0,0,0
Airco Plating Co.,42.47,4,Miami,Florida,25.8152,-80.2559,no,no,1988,6,24,1990,2,21,1999,9,15
Hercules 009 Landfill,52.58,4,Brunswick,Georgia,31.2049,-81.4858,no,no,1983,9,8,1984,9,21,1999,9,24
Robins Air Force Base (Landfill #4/Sludge Lagoon),51.66,4,Houston County,Georgia,32.619983,-83.582075,yes,no,1984,10,15,1987,7,22,2004,9,30
"Woolfolk Chemical Works, Inc.",42.24,4,Fort Valley,Georgia,32.549581,-83.884161,no,no,1988,6,24,1990,8,30,0,0,0
Mathis Brothers Landfill (South Marble Top Road),30.78,4,Kensington,Georgia,34.797781,-85.377781,no,no,1987,1,22,1989,3,31,1998,9,28
Diamond Shamrock Corp. Landfill,35.6,4,Cedartown,Georgia,34.0207,-85.2717,no,no,1987,1,22,1990,8,30,1995,9,29
Airco,33.29,4,Calvert City,Kentucky,37.0496,-88.3225,no,no,1982,12,30,1984,9,21,1997,9,29
B.F. Goodrich,33.01,4,Calvert City,Kentucky,37.0503,-88.3234,no,no,1982,12,30,1983,9,8,1997,9,29
Distler Brickyard,44.77,4,West Point,Kentucky,37.989719,-85.951389,no,no,1982,12,30,1983,9,8,1995,1,11
Distler Farm,34.62,4,Jefferson County,Kentucky,38.006939,-85.931111,no,no,1982,12,30,1983,9,8,1992,7,9
Maxey Flats Nuclear Disposal,31.71,4,Hillsboro,Kentucky,38.2608,-83.5692,no,no,1984,10,15,1986,6,10,2018,4,19
Smith's Farm,32.69,4,Brooks,Kentucky,38.0375,-85.733331,no,no,1984,10,15,1986,6,10,1998,9,23
"Green River Disposal, Inc.",29.12,4,Maceo,Kentucky,37.88945,-86.973611,no,no,1988,6,24,1990,8,30,2000,9,22
Bypass 601 Ground Water Contamination,37.93,4,Concord,North Carolina,35.4096,-80.6093,no,yes,1984,10,15,1986,6,10,1999,3,11
Jadco-Hughes Facility,42.0,4,Belmont,North Carolina,35.275831,-81.041111,no,no,1984,10,15,1986,6,10,1996,12,19
"North Carolina State University (Lot 86, Farm Unit #1)",48.36,4,Raleigh,North Carolina,35.801816,-78.713588,no,no,1984,10,15,1986,6,10,2006,9,27
Celanese Corp. (Shelby Fiber Operations),48.98,4,Shelby,North Carolina,35.208889,-81.528339,no,yes,1984,10,15,1986,6,10,1993,3,25
Cape Fear Wood Preserving,34.09,4,Fayetteville,North Carolina,35.04945,-79.020839,no,no,1986,6,10,1987,7,22,2001,9,25
Aberdeen Pesticide Dumps,52.7,4,Aberdeen,North Carolina,35.1384,-79.4472,no,no,1987,1,22,1989,3,31,2003,9,30
Charles Macon Lagoon & Drum Storage,47.1,4,Cordova,North Carolina,34.8925,-79.8375,no,no,1987,1,22,1987,7,22,1996,11,6
Carolina Transformer Co.,33.76,4,Fayetteville,North Carolina,35.063331,-78.845,no,no,1987,1,22,1987,7,22,2005,8,10
"Carolawn, Inc.",32.04,4,Fort Lawn,South Carolina,34.686111,-80.94305,no,no,1982,12,30,1983,9,8,1998,5,18
SCRDI Dixiana,40.7,4,Cayce,South Carolina,33.90445,-81.063889,no,no,1982,12,30,1983,9,8,1992,9,23
"Leonard Chemical Co., Inc.",47.1,4,Rock Hill,South Carolina,34.851669,-80.904169,no,no,1983,9,8,1984,9,21,0,0,0
Kalama Specialty Chemicals,57.9,4,Beaufort,South Carolina,32.4734,-80.7401,no,no,1983,9,8,1984,9,21,1999,6,29
Palmetto Wood Preserving,38.43,4,Dixiana,South Carolina,33.920831,-81.060281,no,no,1983,9,8,1984,9,21,1997,9,30
"Wamchem, Inc.",47.7,4,Burton,South Carolina,32.497219,-80.741669,no,no,1983,9,8,1984,9,21,1997,9,30
Medley Farm Drum Dump,31.58,4,Gaffney,South Carolina,34.9805,-81.6685,no,no,1986,6,10,1989,3,31,1995,9,29
"Sangamo Weston, Inc./Twelve-Mile Creek/Lake Hartwell PCB Contamination",37.63,4,Pickens,South Carolina,34.895,-82.7232,no,no,1987,1,22,1990,2,21,1999,8,9
Murray-Ohio Dump,46.44,4,Lawrenceburg,Tennessee,35.2275,-87.361111,no,no,1982,12,30,1983,9,8,1998,9,24
Velsicol Chemical Corp. (Hardeman County),47.71,4,Toone,Tennessee,35.381939,-88.926389,no,no,1982,12,30,1983,9,8,1998,8,13
Milan Army Ammunition Plant,58.15,4,Milan,Tennessee,35.867781,-88.696111,yes,no,1984,10,15,1987,7,22,2017,7,25
"American Creosote Works, Inc. (Jackson Plant)",35.22,4,Jackson,Tennessee,35.61,-88.8355,no,no,1984,10,15,1986,6,10,2000,5,24
Mallory Capacitor Co.,29.44,4,Waynesboro,Tennessee,35.317638,-87.758611,no,no,1987,1,22,1989,10,4,1996,9,24
Arlington Blending & Packaging,39.03,4,Arlington,Tennessee,35.2996,-89.6577,no,no,1987,1,22,1987,7,22,1997,7,24
"Acme Solvents Reclaiming, Inc. (Morristown Plant)",31.98,5,Morristown,Illinois,42.1577,-89.0455,no,no,1982,12,30,1983,9,8,1998,7,13
Byron Salvage Yard,33.93,5,Byron,Illinois,42.081669,-89.295831,no,no,1982,12,30,1983,9,8,2003,9,16
Cross Brothers Pail Recycling (Pembroke),42.04,5,Pembroke Township,Illinois,41.0909,-87.5893,no,no,1982,12,30,1983,9,8,1996,6,7
Galesburg/Koppers Co.,34.78,5,Galesburg,Illinois,40.895831,-90.395839,no,no,1982,12,30,1983,9,8,2001,9,28
Johns-Manville Corp.,38.2,5,Waukegan,Illinois,42.386669,-87.811669,no,no,1982,12,30,1983,9,8,1991,12,31
LaSalle Electric Utilities,42.06,5,La Salle,Illinois,41.354169,-89.0975,no,no,1982,12,30,1983,9,8,1994,2,28
Velsicol Chemical Corp. (Marshall Plant),48.78,5,Marshall,Illinois,39.410831,-87.699169,no,no,1982,12,30,1983,9,8,1994,9,30
Wauconda Sand & Gravel,53.42,5,Wauconda,Illinois,42.281389,-88.1375,no,no,1982,12,30,1983,9,8,1996,8,22
Kerr-McGee (Kress Creek/West Branch of DuPage River),39.05,5,DuPage County,Illinois,41.863611,-88.2093,no,no,1984,10,15,1991,2,11,2012,11,6
Kerr-McGee (Residential Areas),38.15,5,"DuPage County, West Chicago",Illinois,41.878333,-88.2075,no,no,1984,10,15,1990,8,30,2003,9,30
Sangamo Electric Dump/Crab Orchard National Wildlife Refuge (USDOI),43.7,5,Carterville,Illinois,37.693194,-89.014722,yes,no,1984,10,15,1987,7,22,0,0,0
NL Industries/Taracorp Lead Smelter,38.11,5,Granite City,Illinois,38.695,-90.158331,no,no,1984,10,15,1986,6,10,2000,9,26
Pagel's Pit,45.91,5,Rockford,Illinois,42.158331,-89.056661,no,no,1984,10,15,1986,6,10,1999,9,30
Joliet Army Ammunition Plant (Manufacturing Area),32.08,5,Joliet,Illinois,41.3762,-88.1563,yes,no,1984,10,15,1987,7,22,2008,9,10
H.O.D. Landfill,34.68,5,Antioch,Illinois,42.4753,-88.0819,no,no,1985,9,18,1990,2,21,2001,6,29
"Tri-County Landfill Co./Waste Management of Illinois, Inc.",42.76,5,South Elgin,Illinois,41.9832,-88.2712,no,no,1986,6,10,1989,3,31,2001,11,1
Parsons Casket Hardware Co.,55.58,5,Belvidere,Illinois,42.2692,-88.836,no,no,1987,1,22,1987,7,22,0,0,0
Yeoman Creek Landfill,33.23,5,Waukegan,Illinois,42.388889,-87.848611,no,no,1988,6,24,1989,3,31,2005,9,23
Envirochem Corp.,46.44,5,Zionsville,Indiana,40.03,-86.278339,no,no,1982,12,30,1983,9,8,2009,9,3
Fisher-Calo,52.05,5,La Porte,Indiana,41.5081,-86.6709,no,no,1982,12,30,1983,9,8,1998,8,6
Fort Wayne Reduction Dump,42.47,5,Fort Wayne,Indiana,41.075,-85.066669,no,no,1984,10,15,1986,6,10,1995,9,27
Lake Sandy Jo (M&M Landfill),38.21,5,Gary,Indiana,41.570839,-87.382231,no,no,1982,12,30,1983,9,8,1994,9,20
Lemon Lane Landfill,29.31,5,Bloomington,Indiana,39.1731,-86.5598,no,no,1982,12,30,1983,9,8,2012,9,26
Main Street Well Field,42.49,5,Elkhart,Indiana,41.696389,-85.979161,no,no,1982,12,30,1983,9,8,1995,9,28
Marion (Bragg) Dump,35.25,5,Marion,Indiana,40.537781,-85.633061,no,no,1982,12,30,1983,9,8,1997,9,30
MIDCO I,46.44,5,Gary,Indiana,41.5895,-87.4284,no,no,1982,12,30,1983,9,8,2017,3,16
MIDCO II,30.16,5,Gary,Indiana,41.622781,-87.408611,no,no,1984,10,15,1986,6,10,0,0,0
Neal's Landfill (Bloomington),42.93,5,Bloomington,Indiana,39.1667,-86.6405,no,no,1982,12,30,1983,9,8,2012,7,19
Ninth Avenue Dump,40.32,5,Gary,Indiana,41.5934,-87.429,no,no,1982,12,30,1983,9,8,1995,9,25
Reilly Tar & Chemical Corp. (Indianapolis Plant),34.03,5,Indianapolis,Indiana,39.740281,-86.218331,no,no,1983,9,8,1984,9,21,1999,12,16
Wayne Waste Oil,42.33,5,Columbia City,Indiana,41.1525,-85.476111,no,no,1982,12,30,1983,9,8,1995,6,30
"American Chemical Service, Inc.",34.98,5,Griffith,Indiana,41.5142,-87.4191,no,no,1983,9,8,1984,9,21,2004,9,27
Bennett Stone Quarry,32.55,5,Bloomington,Indiana,39.1902,-86.5612,no,no,1983,9,8,1984,9,21,2000,9,25
"Northside Sanitary Landfill, Inc.",46.04,5,Zionsville,Indiana,40.028331,-86.273331,no,no,1983,9,8,1984,9,21,1996,9,3
"Douglass Road/Uniroyal, Inc., Landfill",36.61,5,Mishawaka,Indiana,41.7132,-86.1926,no,no,1986,6,10,1989,3,31,2000,9,19
Himco Dump,42.31,5,Elkhart,Indiana,41.7073,-86.0084,no,no,1988,6,24,1990,2,21,2012,7,19
"Tippecanoe Sanitary Landfill, Inc",42.24,5,Lafayette,Indiana,40.456111,-86.872219,no,no,1988,6,24,1990,8,30,2001,9,27
"Auto Ion Chemicals, Inc.",32.07,5,Kalamazoo,Michigan,42.293889,-85.567219,no,no,1982,12,30,1983,9,8,1994,9,23
Butterworth #2 Landfill,50.31,5,Grand Rapids,Michigan,42.952219,-85.700281,no,no,1982,12,30,1983,9,8,2000,9,27
"Cannelton Industries, Inc.",30.16,5,Sault Sainte Marie,Michigan,46.488889,-84.393061,no,no,1988,6,24,1990,8,30,1999,9,28
Chem Central,38.2,5,Wyoming Township,Michigan,42.91,-85.674161,no,no,1982,12,30,1983,9,8,1995,9,19
Clare Water Supply,38.43,5,Clare,Michigan,43.815,-84.7625,no,no,1982,12,30,1984,9,21,1999,3,30
Electrovoice,35.36,5,Buchanan,Michigan,41.8206,-86.3545,no,no,1982,12,30,1984,9,21,1999,9,21
Forest Waste Products,38.64,5,Otisville,Michigan,43.198331,-83.545831,no,no,1982,12,30,1983,9,8,1997,6,30
G&H Landfill,49.09,5,Utica,Michigan,42.664719,-83.077769,no,no,1982,12,30,1983,9,8,1999,8,26
Grand Traverse Overall Supply Co.,35.53,5,Greilickville,Michigan,44.7944,-85.6382,no,no,1982,12,30,1983,9,8,1992,9,17
Hedblum Industries,37.29,5,Oscoda,Michigan,44.4113,-83.3469,no,no,1982,12,30,1983,9,8,1993,8,16
Ionia City Landfill,31.31,5,Ionia,Michigan,42.976669,-85.046111,no,no,1982,12,30,1983,9,8,2000,9,28
K&L Avenue Landfill,38.1,5,Oshtemo Township,Michigan,42.283331,-85.718889,no,no,1982,12,30,1983,9,8,2006,12,20
Kentwood Landfill,35.39,5,Kentwood,Michigan,42.8738,-85.5906,no,no,1982,12,30,1983,9,8,1995,9,27
"Liquid Disposal, Inc.",63.28,5,Utica,Michigan,42.652781,-83.073611,no,no,1982,12,30,1983,9,8,1997,9,16
McGraw Edison Corp.,33.42,5,Albion,Michigan,42.252219,-84.733061,no,no,1982,12,30,1983,9,8,1998,1,28
Northernaire Plating,57.93,5,Cadillac,Michigan,44.265,-85.41,no,no,1982,12,30,1983,9,8,1996,9,23
"Organic Chemicals, Inc.",32.93,5,Grandville,Michigan,42.9178,-85.7475,no,no,1982,12,30,1983,9,8,2003,9,29
Ott/Story/Cordova Chemical Co.,53.41,5,Dalton Township,Michigan,43.303331,-86.256669,no,no,1982,12,30,1983,9,8,2002,5,1
Packaging Corp. of America,51.91,5,Filer City,Michigan,44.226389,-86.273331,no,no,1982,12,30,1983,9,8,1998,9,14
Petoskey Municipal Well Field,42.68,5,Petoskey,Michigan,45.376,-84.964,no,no,1982,12,30,1983,9,8,2000,2,18
Rasmussen's Dump,31.8,5,Brighton,Michigan,42.4544,-83.7693,no,no,1982,12,30,1983,9,8,1995,9,25
Rose Township Dump,50.92,5,Rose Township,Michigan,42.720831,-83.631939,no,no,1982,12,30,1983,9,8,1996,2,5
SCA Independent Landfill,34.75,5,Muskegon Heights,Michigan,43.201111,-86.1425,no,no,1982,12,30,1983,9,8,2001,9,26
Shiawassee River,31.01,5,Howell,Michigan,42.622781,-83.963611,no,no,1982,12,30,1983,9,8,2005,9,29
Southwest Ottawa County Landfill,39.66,5,Park Township,Michigan,42.820419,-86.185219,no,no,1982,12,30,1983,9,8,1994,9,22
Sparta Landfill,32.0,5,Sparta Township,Michigan,43.1525,-85.68195,no,no,1982,12,30,1983,9,8,2000,9,27
Spartan Chemical Co.,41.05,5,Wyoming,Michigan,42.915831,-85.727781,no,no,1982,12,30,1983,9,8,0,0,0
Springfield Township Dump,51.97,5,Davisburg,Michigan,42.7044,-83.5419,no,no,1982,12,30,1983,9,8,2000,8,25
Tar Lake,48.55,5,Mancelona Township,Michigan,44.8866,-85.073,no,no,1982,12,30,1983,9,8,2004,9,28
U.S. Aviex,33.66,5,Howard Township,Michigan,41.8309,-86.1968,no,no,1982,12,30,1983,9,8,1993,9,21
Velsicol Chemical Corp.(Michigan),52.29,5,St. Louis,Michigan,43.410561,-84.618611,no,no,1982,12,30,1983,9,8,1992,9,25
Verona Well Field,46.86,5,Battle Creek,Michigan,42.341669,-85.143331,no,no,1982,12,30,1983,9,8,1997,6,26
Wash King Laundry,40.03,5,Pleasant Plains Township,Michigan,43.8532,-85.853,no,no,1982,12,30,1983,9,8,2001,3,30
Metamora Landfill,35.51,5,Metamora,Michigan,42.94695,-83.274439,no,no,1983,9,8,1984,9,21,2001,9,27
Sturgis Municipal Wells,42.24,5,Sturgis,Michigan,41.7988,-85.4256,no,no,1983,9,8,1984,9,21,1997,9,3
"Thermo-Chem, Inc.",53.36,5,Muskegon,Michigan,43.210831,-86.136669,no,no,1984,10,15,1986,6,10,2002,9,17
Torch Lake,46.72,5,Houghton County,Michigan,47.169719,-88.397781,no,no,1984,10,15,1986,6,10,2005,9,23
North Bronson Industrial Area,33.93,5,Bronson,Michigan,41.880281,-85.193339,no,no,1984,10,15,1986,6,10,0,0,0
Michigan Disposal Service (Cork Street Landfill),37.93,5,Kalamazoo,Michigan,42.2545,-85.5433,no,no,1984,10,15,1990,2,21,2002,9,25
"Motor Wheel, Inc.",48.91,5,Lansing,Michigan,42.760831,-84.535,no,yes,1984,10,15,1986,6,10,1997,12,18
South Macomb Disposal Authority (Landfills #9 and #9A),33.67,5,Macomb Township,Michigan,42.682081,-82.907389,no,no,1984,10,15,1986,6,10,2005,10,31
"Roto-Finish Co., Inc.",40.7,5,Kalamazoo,Michigan,42.2292,-85.5443,no,no,1984,10,15,1986,6,10,1997,3,31
"H. Brown Co., Inc.",39.88,5,Grand Rapids,Michigan,43.003331,-85.678339,no,no,1985,4,10,1986,6,10,2000,9,19
Rockwell International Corp. (Allegan Plant),52.15,5,Allegan,Michigan,42.536669,-85.85,no,no,1985,4,10,1987,7,22,2016,9,27
"American Anodco, Inc.",57.99,5,Ionia,Michigan,42.9875,-85.03,no,no,1986,6,10,1989,3,31,1993,9,27
J & L Landfill,31.65,5,Rochester Hills,Michigan,42.6556,-83.0959,no,no,1986,6,10,1989,3,31,1997,9,30
"Barrels, Inc.",42.24,5,Lansing,Michigan,42.749031,-84.543331,no,no,1987,1,22,1989,10,4,2018,9,25
Burlington Northern (Brainerd/Baxter Plant),46.77,5,"Baxter, Brainerd",Minnesota,46.3532,-94.2282,no,no,1982,12,30,1983,9,8,1995,9,18
FMC Corp. (Fridley Plant),65.5,5,Fridley,Minnesota,45.0565,-93.2762,no,no,1982,12,30,1983,9,8,1992,9,8
Koppers Coke,55.05,5,St. Paul,Minnesota,44.972219,-93.152781,no,no,1982,12,30,1983,9,8,1998,7,20
Lehillier/Mankato Site,42.49,5,Lehillier,Minnesota,44.153331,-94.038331,no,no,1982,12,30,1983,9,8,1992,4,8
New Brighton/Arden Hills/TCAAP (USARMY),59.16,5,New Brighton,Minnesota,45.079169,-93.1975,yes,yes,1982,12,30,1983,9,8,0,0,0
Oakdale Dump,55.71,5,Oakdale,Minnesota,45.0,-92.966669,no,no,1982,12,30,1983,9,8,1995,9,7
South Andover Site,35.41,5,Andover,Minnesota,45.2179,-93.318,no,yes,1982,12,30,1983,9,8,1994,11,1
Arrowhead Refinery Co.,43.75,5,Hermantown,Minnesota,46.8377,-92.2398,no,no,1983,9,8,1984,9,21,1996,12,19
General Mills/Henkel Corp.,36.28,5,Minneapolis,Minnesota,44.99,-93.222781,no,no,1983,9,8,1984,9,21,1992,6,5
Joslyn Manufacturing & Supply Co.,44.3,5,Brooklyn Center,Minnesota,45.045,-93.333339,no,yes,1983,9,8,1984,9,21,1995,12,21
MacGillis & Gibbs/Bell Lumber & Pole Co.,48.33,5,New Brighton,Minnesota,45.055,-93.194731,no,no,1983,9,8,1984,9,21,2002,9,25
Perham Arsenic Site,37.98,5,Perham,Minnesota,46.587781,-95.571661,no,no,1983,9,8,1984,9,21,1998,9,29
St. Regis Paper Co.,52.88,5,Cass Lake,Minnesota,47.375561,-94.60555,no,no,1983,9,8,1984,9,21,0,0,0
St. Louis River Site,32.08,5,St. Louis County,Minnesota,46.677781,-92.212219,no,no,1983,9,8,1984,9,21,0,0,0
Kurt Manufacturing Co.,31.41,5,Fridley,Minnesota,45.064411,-93.268361,no,no,1984,10,15,1986,6,10,1995,9,20
Long Prairie Ground Water Contamination,31.94,5,Long Prairie,Minnesota,45.978531,-94.856639,no,no,1984,10,15,1986,6,10,1997,9,19
Naval Industrial Reserve Ordnance Plant,30.83,5,Fridley,Minnesota,45.058831,-93.273669,yes,no,1989,7,14,1989,11,21,2003,9,23
Freeway Sanitary Landfill,45.91,5,Burnsville,Minnesota,44.795,-93.293331,no,no,1985,9,18,1986,6,10,0,0,0
Waite Park Wells,31.94,5,Waite Park,Minnesota,45.561669,-94.215,no,no,1985,9,18,1986,6,10,1999,9,21
Ritari Post & Pole,29.81,5,Sebeka,Minnesota,46.6608,-95.0298,no,no,1987,1,22,1987,7,22,2001,9,26
Allied Chemical & Ironton Coke,47.05,5,Ironton,Ohio,38.5057,-82.658,no,no,1982,12,30,1983,9,8,2016,9,29
Big D Campground,30.77,5,Kingsville,Ohio,41.904169,-80.652781,no,no,1982,12,30,1983,9,8,1995,5,9
E.H. Schilling Landfill,34.56,5,Hamilton Township,Ohio,38.5725,-82.75555,no,no,1982,12,30,1983,9,8,1993,8,26
Fields Brook,44.95,5,Ashtabula,Ohio,41.8915,-80.7754,no,no,1982,12,30,1983,9,8,0,0,0
Fultz Landfill,39.42,5,Jackson Township,Ohio,39.984719,-81.541661,no,no,1982,12,30,1983,9,8,1998,9,29
Nease Chemical,47.19,5,Salem,Ohio,40.916669,-80.891669,no,no,1982,12,30,1983,9,8,0,0,0
New Lyme Landfill,31.19,5,New Lyme,Ohio,41.584719,-80.729161,no,no,1982,12,30,1983,9,8,1992,12,29
"Pristine, Inc.",35.25,5,Reading,Ohio,39.236111,-84.437231,no,no,1982,12,30,1983,9,8,1998,9,30
